id,latitude,longitude,lumens
1,12.984866,80.2131028,46.0
2,12.984866,80.2131028,46.0
3,12.984866,80.2131028,46.0
4,12.984866,80.2131028,46.0
5,12.984866,80.2131028,46.0
6,12.984866,80.2131028,46.0
7,12.984866,80.2131028,46.0
8,12.984866,80.2131028,46.0
9,12.984866,80.2131028,46.0
10,12.984866,80.2131028,46.0
11,12.9848601,80.2131465,46.0
12,12.9848601,80.2131465,19.0
13,12.9848601,80.2131465,4.0
14,12.9848619,80.2131232,12.0
15,12.9848619,80.2131232,12.0
16,12.9848799,80.2131659,12.0
17,12.9848777,80.2131855,12.0
18,12.9848757,80.2131878,12.0
19,12.9848789,80.2131954,12.0
20,12.9849273,80.2132624,12.0
21,12.9849436,80.2132956,12.0
22,12.9849463,80.2133134,12.0
23,12.984949,80.2133411,12.0
24,12.9849458,80.2133423,12.0
25,12.984937,80.2133383,12.0
26,12.9849266,80.2133335,12.0
27,12.9849223,80.213327,12.0
28,12.9849162,80.2133262,12.0
29,12.9849136,80.2133242,12.0
30,12.984914,80.2133207,12.0
31,12.9849164,80.2133219,12.0
32,12.9849189,80.2133231,12.0
33,12.9849231,80.2133245,12.0
34,12.9849235,80.2133178,12.0
35,12.9849251,80.2133132,12.0
36,12.9849276,80.213314,12.0
37,12.9849304,80.2133108,12.0
38,12.9849367,80.2132981,12.0
39,12.9849353,80.2132875,12.0
40,12.9849344,80.2132742,12.0
41,12.984934,80.2132691,12.0
42,12.9849338,80.2132661,12.0
43,12.9849338,80.213264,12.0
44,12.984934,80.2132629,12.0
45,12.9849357,80.2132619,12.0
46,12.9849376,80.2132604,12.0
47,12.9849409,80.2132551,12.0
48,12.9849435,80.2132505,12.0
49,12.9849412,80.2132423,12.0
50,12.9849408,80.2132402,12.0
51,12.984942,80.2132394,12.0
52,12.9849479,80.2132422,12.0
53,12.9849489,80.2132432,12.0
54,12.9849483,80.2132426,12.0
55,12.9849457,80.2132399,12.0
56,12.9849436,80.2132362,12.0
57,12.9849431,80.2132316,12.0
58,12.9849442,80.2132319,12.0
59,12.9849452,80.2132345,12.0
60,12.9849476,80.2132367,12.0
61,12.9849504,80.2132347,12.0
62,12.9849519,80.2132331,12.0
63,12.9849501,80.2132336,12.0
64,12.9849438,80.2132391,12.0
65,12.984938,80.2132469,12.0
66,12.9849367,80.2132493,12.0
67,12.984936,80.2132495,12.0
68,12.9849354,80.2132529,12.0
69,12.9849376,80.2132629,12.0
70,12.9849397,80.213264,12.0
71,12.9849458,80.2132577,12.0
72,12.9849571,80.2132485,9.0
73,12.9849613,80.2132357,9.0
74,12.9849645,80.213233,10.0
75,12.9849695,80.2132319,10.0
76,12.9849774,80.2132294,10.0
77,12.9849884,80.2132279,10.0
78,12.9849875,80.2132398,10.0
79,12.9849824,80.2132387,10.0
80,12.9849817,80.2132377,10.0
81,12.9849816,80.2132373,12.0
82,12.9849816,80.2132371,12.0
83,12.9849781,80.213237,12.0
84,12.9849718,80.213236,12.0
85,12.9849714,80.2132351,12.0
86,12.9849718,80.2132349,12.0
87,12.9849722,80.2132346,12.0
88,12.9849723,80.2132344,12.0
89,12.9849699,80.2132334,12.0
90,12.9849655,80.213234,12.0
91,12.9849691,80.2132321,12.0
92,12.9849704,80.2132251,12.0
93,12.9849678,80.2132222,12.0
94,12.984968,80.2132187,12.0
95,12.9849681,80.2132153,12.0
96,12.9849676,80.2132124,12.0
97,12.9849654,80.213212,12.0
98,12.9849621,80.2132118,12.0
99,12.984962,80.2132118,12.0
100,12.9849619,80.2132117,12.0
101,12.9849576,80.2132086,12.0
102,12.9849552,80.2132029,12.0
103,12.9849526,80.213192,12.0
104,12.9849525,80.2131861,12.0
105,12.9849502,80.2131801,12.0
106,12.9849483,80.213179,12.0
107,12.9849477,80.2131784,12.0
108,12.9849474,80.2131783,12.0
109,12.9849472,80.2131782,12.0
110,12.9849474,80.2131758,12.0
111,12.9849448,80.2131704,12.0
112,12.984942,80.2131691,12.0
113,12.9849409,80.213172,12.0
114,12.9849392,80.2131768,12.0
115,12.9849354,80.2131801,12.0
116,12.984932,80.2131826,12.0
117,12.9849293,80.2131859,12.0
118,12.9849296,80.2131848,12.0
119,12.9849333,80.2131829,12.0
120,12.9849341,80.2131821,12.0
121,12.9849287,80.2131819,11.0
122,12.9849234,80.2131879,11.0
123,12.9849206,80.213191,11.0
124,12.9849213,80.2131835,11.0
125,12.9849196,80.2131749,11.0
126,12.9849195,80.2131696,11.0
127,12.9849169,80.2131641,9.0
128,12.9849119,80.2131655,9.0
129,12.9849053,80.2131704,9.0
130,12.9848899,80.2131773,9.0
131,12.9848856,80.2131781,9.0
132,12.9848839,80.2131752,8.0
133,12.9848833,80.2131764,8.0
134,12.9848832,80.2131773,8.0
135,12.9848834,80.213178,8.0
136,12.984882,80.2131781,8.0
137,12.9848809,80.2131771,8.0
138,12.9848801,80.2131778,8.0
139,12.9848783,80.2131802,8.0
140,12.9849247,80.2132212,62.0
141,12.9849238,80.2132451,133.0
142,12.9849027,80.2131921,133.0
143,12.9849274,80.2131991,133.0
144,12.984934,80.2132154,133.0
145,12.98494,80.2132267,133.0
146,12.9849449,80.2132312,133.0
147,12.9849456,80.2132339,133.0
148,12.9849454,80.2132352,133.0
149,12.9849476,80.2132382,133.0
150,12.9849764,80.2132664,133.0
151,12.9849803,80.2132718,133.0
152,12.9849736,80.213272,133.0
153,12.9849843,80.213298,133.0
154,12.9849976,80.213309,133.0
155,12.9850139,80.2133122,133.0
156,12.9850163,80.2133088,133.0
157,12.9850099,80.2133049,133.0
158,12.9850032,80.2132999,133.0
159,12.9849974,80.2132985,133.0
160,12.984991,80.213296,133.0
161,12.9849854,80.2132896,133.0
162,12.9849826,80.2132876,133.0
163,12.9849803,80.2132852,133.0
164,12.9849777,80.2132808,133.0
165,12.9849746,80.2132773,133.0
166,12.9849734,80.2132772,133.0
167,12.9849714,80.2132809,133.0
168,12.9849693,80.2132812,133.0
169,12.9849674,80.2132773,133.0
170,12.984964,80.2132695,133.0
171,12.9849594,80.2132703,133.0
172,12.9849539,80.2132637,133.0
173,12.9849422,80.2132603,133.0
174,12.9849381,80.2132598,133.0
175,12.9849374,80.213257,133.0
176,12.9849417,80.2132572,133.0
177,12.9849481,80.2132593,133.0
178,12.9849489,80.213261,133.0
179,12.9849489,80.2132626,133.0
180,12.9849548,80.213268,133.0
181,12.9849616,80.2132696,133.0
182,12.9849621,80.2132683,133.0
183,12.9849622,80.2132721,133.0
184,12.9849581,80.2132788,133.0
185,12.9849527,80.2132779,133.0
186,12.9849468,80.2132753,133.0
187,12.9849415,80.2132784,133.0
188,12.9849388,80.2132774,133.0
189,12.9849322,80.2132809,133.0
190,12.9849275,80.2132838,122.0
191,12.984925,80.2132752,122.0
192,12.9849298,80.2132852,78.0
193,12.984942,80.2132662,130.0
194,12.9849584,80.2132734,130.0
195,12.9849657,80.2132762,130.0
196,12.9849769,80.2132776,130.0
197,12.9849839,80.2132727,130.0
198,12.9849852,80.2132727,130.0
199,12.9849813,80.21327,130.0
200,12.984972,80.2132647,130.0
201,12.9849655,80.2132607,130.0
202,12.9849641,80.2132595,130.0
203,12.9849649,80.2132633,130.0
204,12.9849649,80.2132738,130.0
205,12.9849702,80.2132832,130.0
206,12.9849641,80.2132928,130.0
207,12.9849654,80.2132941,130.0
208,12.9849671,80.2132952,130.0
209,12.9849684,80.2132949,130.0
210,12.9849752,80.2132982,130.0
211,12.9849763,80.213302,130.0
212,12.9849689,80.2132971,130.0
213,12.9849639,80.2132929,130.0
214,12.9849599,80.2132952,130.0
215,12.9849598,80.2132958,130.0
216,12.9849602,80.2132962,130.0
