latitude,longitude,lumens,AGGR
12.984866,80.2131028,46,1041.556391
12.984866,80.2131028,46,1041.556391
12.984866,80.2131028,46,1041.556391
12.984866,80.2131028,46,1041.556391
12.984866,80.2131028,46,1041.556391
12.984866,80.2131028,46,1041.556391
12.984866,80.2131028,46,1041.556391
12.984866,80.2131028,46,1041.556391
12.984866,80.2131028,46,1041.556391
12.984866,80.2131028,46,1041.556391
12.9848601,80.2131465,46,1041.556485
12.9848601,80.2131465,19,1041.556485
12.9848601,80.2131465,4,1041.556485
12.9848619,80.2131232,12,1041.556327
12.9848619,80.2131232,12,1041.556327
12.9848799,80.2131659,12,1041.558326
12.9848777,80.2131855,12,1041.558404
12.9848757,80.2131878,12,1041.558273
12.9848789,80.2131954,12,1041.558628
12.9849273,80.2132624,12,1041.563381
12.9849436,80.2132956,12,1041.565119
12.9849463,80.2133134,12,1041.565567
12.984949,80.2133411,12,1041.566143
12.9849458,80.2133423,12,1041.565902
12.984937,80.2133383,12,1041.565144
12.9849266,80.2133335,12,1041.564248
12.9849223,80.213327,12,1041.563819
12.9849162,80.2133262,12,1041.563319
12.9849136,80.2133242,12,1041.563084
12.984914,80.2133207,12,1041.563071
12.9849164,80.2133219,12,1041.563279
12.9849189,80.2133231,12,1041.563495
12.9849231,80.2133245,12,1041.56385
12.9849235,80.2133178,12,1041.563795
12.9849251,80.2133132,12,1041.563864
12.9849276,80.213314,12,1041.564075
12.9849304,80.2133108,12,1041.564258
12.9849367,80.2132981,12,1041.564598
12.9849353,80.2132875,12,1041.564348
12.9849344,80.2132742,12,1041.564103
12.984934,80.2132691,12,1041.564005
12.9849338,80.2132661,12,1041.56395
12.9849338,80.213264,12,1041.563923
12.984934,80.2132629,12,1041.563925
12.9849357,80.2132619,12,1041.564048
12.9849376,80.2132604,12,1041.564181
12.9849409,80.2132551,12,1041.564377
12.9849435,80.2132505,12,1041.564526
12.9849412,80.2132423,12,1041.564235
12.9849408,80.2132402,12,1041.564175
12.984942,80.2132394,12,1041.564261
12.9849479,80.2132422,12,1041.564771
12.9849489,80.2132432,12,1041.564864
12.9849483,80.2132426,12,1041.564808
12.9849457,80.2132399,12,1041.564565
12.9849436,80.2132362,12,1041.564348
12.9849431,80.2132316,12,1041.564248
12.9849442,80.2132319,12,1041.56434
12.9849452,80.2132345,12,1041.564454
12.9849476,80.2132367,12,1041.564675
12.9849504,80.2132347,12,1041.564874
12.9849519,80.2132331,12,1041.564974
12.9849501,80.2132336,12,1041.564836
12.9849438,80.2132391,12,1041.564402
12.984938,80.2132469,12,1041.564038
12.9849367,80.2132493,12,1041.563965
12.984936,80.2132495,12,1041.563911
12.9849354,80.2132529,12,1041.563907
12.9849376,80.2132629,12,1041.564213
12.9849397,80.213264,12,1041.564396
12.9849458,80.2132577,12,1041.564804
12.9849571,80.2132485,9,1041.565591
12.9849613,80.2132357,9,1041.565761
12.9849645,80.213233,10,1041.565983
12.9849695,80.2132319,10,1041.56637
12.9849774,80.2132294,10,1041.566971
